 Lat    Lon    Disp_x_East(cm)   Disp_y_North(cm)   DispUp(cm)
     7.178   -71.813   -0.4   -0.5   -0.2
     7.241   -71.813   -0.4   -0.5   -0.2
     7.304   -71.813   -0.5   -0.5   -0.2
     7.367   -71.813   -0.5   -0.5   -0.2
     7.430   -71.813   -0.5   -0.5   -0.2
     7.493   -71.813   -0.5   -0.5   -0.2
     7.556   -71.813   -0.5   -0.5   -0.2
     7.618   -71.813   -0.5   -0.5   -0.2
     7.681   -71.813   -0.5   -0.5   -0.2
     7.744   -71.813   -0.5   -0.5   -0.2
     7.807   -71.813   -0.5   -0.5   -0.2
     7.870   -71.813   -0.5   -0.5   -0.2
     7.933   -71.813   -0.5   -0.5   -0.2
     7.996   -71.813   -0.5   -0.5   -0.2
     8.059   -71.813   -0.5   -0.5   -0.2
     8.122   -71.813   -0.5   -0.5   -0.2
     8.185   -71.813   -0.5   -0.5   -0.2
     8.248   -71.813   -0.5   -0.5   -0.2
     8.311   -71.813   -0.5   -0.5   -0.2
     8.374   -71.813   -0.5   -0.5   -0.2
     8.436   -71.813   -0.5   -0.5   -0.2
     8.499   -71.813   -0.5   -0.5   -0.2
     8.562   -71.813   -0.5   -0.5   -0.2
     8.625   -71.813   -0.5   -0.5   -0.2
     8.688   -71.813   -0.5   -0.5   -0.2
     8.751   -71.813   -0.5   -0.5   -0.2
     8.814   -71.813   -0.5   -0.5   -0.2
     8.877   -71.813   -0.5   -0.5   -0.2
     8.940   -71.813   -0.5   -0.5   -0.2
     9.003   -71.813   -0.4   -0.5   -0.2
     9.066   -71.813   -0.4   -0.5   -0.2
     9.129   -71.813   -0.4   -0.5   -0.2
     9.192   -71.813   -0.4   -0.5   -0.2
     9.254   -71.813   -0.4   -0.5   -0.2
     9.317   -71.813   -0.4   -0.5   -0.2
     9.380   -71.813   -0.4   -0.5   -0.1
     9.443   -71.813   -0.3   -0.5   -0.1
     9.506   -71.813   -0.3   -0.5   -0.1
     9.569   -71.813   -0.3   -0.4   -0.1
     9.632   -71.813   -0.3   -0.4   -0.1
     9.695   -71.813   -0.2   -0.4   -0.1
     9.758   -71.813   -0.2   -0.4   -0.1
     9.821   -71.813   -0.2   -0.4   -0.1
     9.884   -71.813   -0.2   -0.4   -0.1
     9.947   -71.813   -0.1   -0.4   -0.1
    10.009   -71.813   -0.1   -0.4   -0.0
    10.072   -71.813   -0.1   -0.4   -0.0
    10.135   -71.813   -0.0   -0.4   -0.0
    10.198   -71.813   -0.0   -0.4   -0.0
    10.261   -71.813    0.0   -0.4    0.0
    10.324   -71.813    0.1   -0.4    0.0
    10.387   -71.813    0.1   -0.4    0.0
    10.450   -71.813    0.1   -0.4    0.0
    10.513   -71.813    0.2   -0.4    0.1
    10.576   -71.813    0.2   -0.4    0.1
    10.639   -71.813    0.2   -0.4    0.1
    10.702   -71.813    0.3   -0.4    0.1
    10.765   -71.813    0.3   -0.4    0.1
    10.827   -71.813    0.3   -0.4    0.1
    10.890   -71.813    0.3   -0.4    0.1
    10.953   -71.813    0.4   -0.4    0.1
    11.016   -71.813    0.4   -0.4    0.1
    11.079   -71.813    0.4   -0.4    0.2
    11.142   -71.813    0.4   -0.4    0.2
    11.205   -71.813    0.5   -0.4    0.2
    11.268   -71.813    0.5   -0.5    0.2
    11.331   -71.813    0.5   -0.5    0.2
    11.394   -71.813    0.5   -0.5    0.2
    11.457   -71.813    0.5   -0.5    0.2
    11.520   -71.813    0.6   -0.5    0.2
    11.583   -71.813    0.6   -0.5    0.2
    11.645   -71.813    0.6   -0.5    0.2
    11.708   -71.813    0.6   -0.5    0.2
    11.771   -71.813    0.6   -0.5    0.2
    11.834   -71.813    0.6   -0.5    0.2
    11.897   -71.813    0.6   -0.5    0.2
    11.960   -71.813    0.6   -0.5    0.2
    12.023   -71.813    0.6   -0.5    0.2
    12.086   -71.813    0.6   -0.5    0.3
    12.149   -71.813    0.6   -0.5    0.3
    12.212   -71.813    0.6   -0.5    0.3
    12.275   -71.813    0.6   -0.5    0.3
    12.338   -71.813    0.6   -0.5    0.3
    12.401   -71.813    0.6   -0.5    0.3
    12.463   -71.813    0.6   -0.5    0.3
    12.526   -71.813    0.6   -0.5    0.3
    12.589   -71.813    0.6   -0.5    0.3
    12.652   -71.813    0.6   -0.5    0.3
    12.715   -71.813    0.6   -0.5    0.3
    12.778   -71.813    0.6   -0.5    0.3
    12.841   -71.813    0.6   -0.5    0.3
    12.904   -71.813    0.6   -0.5    0.3
    12.967   -71.813    0.6   -0.5    0.2
    13.030   -71.813    0.6   -0.5    0.2
    13.093   -71.813    0.6   -0.5    0.2
    13.156   -71.813    0.6   -0.5    0.2
    13.219   -71.813    0.5   -0.5    0.2
    13.281   -71.813    0.5   -0.5    0.2
    13.344   -71.813    0.5   -0.5    0.2
    13.407   -71.813    0.5   -0.5    0.2
    13.470   -71.813    0.5   -0.4    0.2
     7.178   -71.749   -0.4   -0.5   -0.2
     7.241   -71.749   -0.5   -0.5   -0.2
     7.304   -71.749   -0.5   -0.5   -0.2
     7.367   -71.749   -0.5   -0.5   -0.2
     7.430   -71.749   -0.5   -0.5   -0.2
     7.493   -71.749   -0.5   -0.5   -0.2
     7.556   -71.749   -0.5   -0.5   -0.2
     7.618   -71.749   -0.5   -0.5   -0.2
     7.681   -71.749   -0.5   -0.5   -0.2
     7.744   -71.749   -0.5   -0.5   -0.2
     7.807   -71.749   -0.5   -0.5   -0.2
     7.870   -71.749   -0.5   -0.5   -0.2
     7.933   -71.749   -0.5   -0.5   -0.2
     7.996   -71.749   -0.5   -0.5   -0.2
     8.059   -71.749   -0.5   -0.5   -0.2
     8.122   -71.749   -0.5   -0.5   -0.2
     8.185   -71.749   -0.5   -0.5   -0.2
     8.248   -71.749   -0.5   -0.5   -0.2
     8.311   -71.749   -0.5   -0.5   -0.2
     8.374   -71.749   -0.5   -0.5   -0.2
     8.436   -71.749   -0.5   -0.5   -0.2
     8.499   -71.749   -0.5   -0.5   -0.2
     8.562   -71.749   -0.5   -0.5   -0.2
     8.625   -71.749   -0.5   -0.5   -0.2
     8.688   -71.749   -0.5   -0.5   -0.2
     8.751   -71.749   -0.5   -0.5   -0.2
     8.814   -71.749   -0.5   -0.5   -0.2
     8.877   -71.749   -0.5   -0.5   -0.2
     8.940   -71.749   -0.5   -0.5   -0.2
     9.003   -71.749   -0.5   -0.5   -0.2
     9.066   -71.749   -0.5   -0.5   -0.2
     9.129   -71.749   -0.4   -0.5   -0.2
     9.192   -71.749   -0.4   -0.5   -0.2
     9.254   -71.749   -0.4   -0.5   -0.2
     9.317   -71.749   -0.4   -0.5   -0.2
     9.380   -71.749   -0.4   -0.5   -0.2
     9.443   -71.749   -0.3   -0.5   -0.1
     9.506   -71.749   -0.3   -0.5   -0.1
     9.569   -71.749   -0.3   -0.5   -0.1
     9.632   -71.749   -0.3   -0.5   -0.1
     9.695   -71.749   -0.3   -0.5   -0.1
     9.758   -71.749   -0.2   -0.4   -0.1
     9.821   -71.749   -0.2   -0.4   -0.1
     9.884   -71.749   -0.2   -0.4   -0.1
     9.947   -71.749   -0.1   -0.4   -0.1
    10.009   -71.749   -0.1   -0.4   -0.0
    10.072   -71.749   -0.1   -0.4   -0.0
    10.135   -71.749   -0.0   -0.4   -0.0
    10.198   -71.749   -0.0   -0.4   -0.0
    10.261   -71.749    0.0   -0.4    0.0
