 Lat    Lon    Disp_x_East(cm)   Disp_y_North(cm)   DispUp(cm)
     9.463   -71.219    0.1    0.0   -0.0
     9.472   -71.219    0.1    0.0   -0.0
     9.481   -71.219    0.2    0.0   -0.0
     9.490   -71.219    0.2    0.0   -0.0
     9.499   -71.219    0.2    0.0   -0.0
     9.508   -71.219    0.2    0.0   -0.0
     9.517   -71.219    0.2    0.0   -0.0
     9.526   -71.219    0.2    0.0   -0.0
     9.535   -71.219    0.2    0.0   -0.0
     9.544   -71.219    0.2    0.0   -0.0
     9.553   -71.219    0.2    0.0   -0.0
     9.562   -71.219    0.2    0.1   -0.0
     9.571   -71.219    0.2    0.1   -0.0
     9.580   -71.219    0.2    0.1   -0.0
     9.589   -71.219    0.3    0.1   -0.0
     9.598   -71.219    0.3    0.1   -0.0
     9.607   -71.219    0.3    0.1   -0.0
     9.616   -71.219    0.3    0.1   -0.0
     9.625   -71.219    0.3    0.1   -0.0
     9.634   -71.219    0.3    0.1   -0.0
     9.643   -71.219    0.3    0.1   -0.0
     9.652   -71.219    0.3    0.1   -0.0
     9.661   -71.219    0.4    0.1   -0.0
     9.670   -71.219    0.4    0.1   -0.0
     9.679   -71.219    0.4    0.1   -0.0
     9.688   -71.219    0.4    0.1   -0.0
     9.697   -71.219    0.4    0.1   -0.0
     9.706   -71.219    0.4    0.1   -0.0
     9.714   -71.219    0.4    0.1   -0.0
     9.723   -71.219    0.5    0.1   -0.0
     9.732   -71.219    0.5    0.1   -0.0
     9.741   -71.219    0.5    0.1   -0.0
     9.750   -71.219    0.5    0.1   -0.0
     9.759   -71.219    0.5    0.1   -0.0
     9.768   -71.219    0.5    0.1    0.0
     9.777   -71.219    0.6    0.1    0.0
     9.786   -71.219    0.6    0.1    0.0
     9.795   -71.219    0.6    0.1    0.0
     9.804   -71.219    0.6    0.1    0.0
     9.813   -71.219    0.6    0.1    0.0
     9.822   -71.219    0.6    0.0    0.0
     9.831   -71.219    0.7    0.0    0.0
     9.840   -71.219    0.7    0.0    0.0
     9.849   -71.219    0.7    0.0    0.0
     9.858   -71.219    0.7    0.0    0.0
     9.867   -71.219    0.7    0.0    0.0
     9.876   -71.219    0.7    0.0    0.0
     9.885   -71.219    0.7    0.0    0.0
     9.894   -71.219    0.8   -0.0    0.0
     9.903   -71.219    0.8   -0.0    0.1
     9.912   -71.219    0.8   -0.0    0.1
     9.921   -71.219    0.8   -0.0    0.1
     9.930   -71.219    0.8   -0.0    0.1
     9.939   -71.219    0.8   -0.0    0.1
     9.948   -71.219    0.8   -0.1    0.1
     9.957   -71.219    0.8   -0.1    0.1
     9.966   -71.219    0.8   -0.1    0.1
     9.975   -71.219    0.8   -0.1    0.1
     9.984   -71.219    0.8   -0.1    0.1
     9.993   -71.219    0.7   -0.1    0.1
    10.002   -71.219    0.7   -0.1    0.1
    10.011   -71.219    0.7   -0.1    0.1
    10.020   -71.219    0.7   -0.1    0.1
    10.029   -71.219    0.7   -0.1    0.1
