 Lat    Lon    Disp_x_East(cm)   Disp_y_North(cm)   DispUp(cm)
    44.547   146.831   -0.1   -0.0   -0.2
    44.709   146.831   -0.1   -0.0   -0.2
    44.872   146.831   -0.1   -0.0   -0.3
    45.034   146.831   -0.1   -0.1   -0.3
    45.196   146.831   -0.0   -0.1   -0.3
    45.358   146.831   -0.0   -0.1   -0.3
    45.520   146.831   -0.0   -0.1   -0.3
    45.682   146.831   -0.0   -0.1   -0.3
    45.844   146.831   -0.0   -0.1   -0.3
    46.007   146.831   -0.0   -0.1   -0.3
    46.169   146.831   -0.0   -0.1   -0.3
    46.331   146.831   -0.0   -0.1   -0.3
    46.493   146.831    0.0   -0.1   -0.3
    46.655   146.831    0.0   -0.1   -0.3
    46.817   146.831    0.0   -0.1   -0.3
    46.979   146.831    0.0   -0.1   -0.3
    47.142   146.831    0.1   -0.1   -0.3
    47.304   146.831    0.1   -0.1   -0.3
    47.466   146.831    0.1   -0.1   -0.3
    47.628   146.831    0.1   -0.1   -0.3
    47.790   146.831    0.1   -0.1   -0.3
    47.952   146.831    0.2   -0.1   -0.3
    48.114   146.831    0.2   -0.2   -0.3
    48.277   146.831    0.2   -0.2   -0.3
    48.439   146.831    0.3   -0.2   -0.3
    48.601   146.831    0.3   -0.2   -0.3
    48.763   146.831    0.4   -0.2   -0.3
    48.925   146.831    0.4   -0.2   -0.3
    49.087   146.831    0.5   -0.2   -0.3
    49.249   146.831    0.5   -0.2   -0.3
    49.412   146.831    0.6   -0.2   -0.3
    49.574   146.831    0.6   -0.2   -0.3
    49.736   146.831    0.7   -0.3   -0.2
    49.898   146.831    0.7   -0.3   -0.2
    50.060   146.831    0.8   -0.3   -0.2
    50.222   146.831    0.9   -0.3   -0.2
    50.384   146.831    0.9   -0.3   -0.2
    50.547   146.831    1.0   -0.4   -0.2
    50.709   146.831    1.1   -0.4   -0.1
    50.871   146.831    1.1   -0.4   -0.1
    51.033   146.831    1.2   -0.4   -0.1
    51.195   146.831    1.2   -0.5   -0.1
    51.357   146.831    1.3   -0.5   -0.0
    51.519   146.831    1.4   -0.5   -0.0
    51.682   146.831    1.4   -0.6   -0.0
    51.844   146.831    1.5   -0.6    0.0
    52.006   146.831    1.5   -0.6    0.0
    52.168   146.831    1.5   -0.7    0.1
    52.330   146.831    1.6   -0.7    0.1
    52.492   146.831    1.6   -0.7    0.1
    52.654   146.831    1.6   -0.8    0.1
    52.817   146.831    1.6   -0.8    0.1
    52.979   146.831    1.7   -0.8    0.1
    53.141   146.831    1.7   -0.9    0.2
    53.303   146.831    1.7   -0.9    0.2
    53.465   146.831    1.7   -0.9    0.2
    53.627   146.831    1.7   -0.9    0.2
    53.789   146.831    1.7   -1.0    0.2
    53.952   146.831    1.7   -1.0    0.2
    54.114   146.831    1.7   -1.0    0.2
    54.276   146.831    1.6   -1.0    0.2
    54.438   146.831    1.6   -1.0    0.2
    54.600   146.831    1.6   -1.0    0.2
    54.762   146.831    1.6   -1.0    0.2
    54.924   146.831    1.6   -1.0    0.2
    55.087   146.831    1.5   -1.0    0.2
    55.249   146.831    1.5   -1.1    0.2
    55.411   146.831    1.5   -1.1    0.2
    55.573   146.831    1.5   -1.1    0.2
    55.735   146.831    1.4   -1.1    0.2
    55.897   146.831    1.4   -1.1    0.2
    56.059   146.831    1.4   -1.0    0.2
    56.222   146.831    1.3   -1.0    0.2
    56.384   146.831    1.3   -1.0    0.2
    56.546   146.831    1.3   -1.0    0.2
    56.708   146.831    1.2   -1.0    0.2
    56.870   146.831    1.2   -1.0    0.2
    57.032   146.831    1.2   -1.0    0.2
    57.195   146.831    1.2   -1.0    0.2
    57.357   146.831    1.1   -1.0    0.2
    57.519   146.831    1.1   -1.0    0.2
    57.681   146.831    1.1   -1.0    0.2
    57.843   146.831    1.0   -1.0    0.2
    58.005   146.831    1.0   -0.9    0.2
    58.167   146.831    1.0   -0.9    0.2
    58.330   146.831    1.0   -0.9    0.2
    58.492   146.831    0.9   -0.9    0.2
    58.654   146.831    0.9   -0.9    0.2
    58.816   146.831    0.9   -0.9    0.2
    58.978   146.831    0.9   -0.9    0.2
    59.140   146.831    0.8   -0.8    0.2
    59.302   146.831    0.8   -0.8    0.2
    59.465   146.831    0.8   -0.8    0.2
    59.627   146.831    0.8   -0.8    0.2
    59.789   146.831    0.7   -0.8    0.2
    59.951   146.831    0.7   -0.8    0.2
    60.113   146.831    0.7   -0.8    0.2
    60.275   146.831    0.7   -0.7    0.2
    60.437   146.831    0.7   -0.7    0.2
    60.600   146.831    0.6   -0.7    0.2
    60.762   146.831    0.6   -0.7    0.1
    44.547   147.098   -0.1   -0.0   -0.2
    44.709   147.098   -0.1   -0.0   -0.3
    44.872   147.098   -0.1   -0.0   -0.3
    45.034   147.098   -0.1   -0.1   -0.3
    45.196   147.098   -0.1   -0.1   -0.3
    45.358   147.098   -0.1   -0.1   -0.3
    45.520   147.098   -0.0   -0.1   -0.3
    45.682   147.098   -0.0   -0.1   -0.3
    45.844   147.098   -0.0   -0.1   -0.3
    46.007   147.098   -0.0   -0.1   -0.3
    46.169   147.098   -0.0   -0.1   -0.3
    46.331   147.098   -0.0   -0.1   -0.3
    46.493   147.098   -0.0   -0.1   -0.3
    46.655   147.098    0.0   -0.1   -0.3
    46.817   147.098    0.0   -0.1   -0.3
    46.979   147.098    0.0   -0.1   -0.3
    47.142   147.098    0.0   -0.1   -0.3
    47.304   147.098    0.1   -0.1   -0.3
    47.466   147.098    0.1   -0.1   -0.3
    47.628   147.098    0.1   -0.1   -0.3
    47.790   147.098    0.1   -0.1   -0.4
    47.952   147.098    0.2   -0.2   -0.3
    48.114   147.098    0.2   -0.2   -0.3
    48.277   147.098    0.2   -0.2   -0.3
    48.439   147.098    0.3   -0.2   -0.3
    48.601   147.098    0.3   -0.2   -0.3
    48.763   147.098    0.4   -0.2   -0.3
    48.925   147.098    0.4   -0.2   -0.3
    49.087   147.098    0.5   -0.2   -0.3
    49.249   147.098    0.5   -0.2   -0.3
    49.412   147.098    0.6   -0.2   -0.3
    49.574   147.098    0.6   -0.2   -0.3
    49.736   147.098    0.7   -0.3   -0.3
    49.898   147.098    0.8   -0.3   -0.2
    50.060   147.098    0.8   -0.3   -0.2
    50.222   147.098    0.9   -0.3   -0.2
    50.384   147.098    1.0   -0.3   -0.2
    50.547   147.098    1.0   -0.4   -0.2
    50.709   147.098    1.1   -0.4   -0.1
    50.871   147.098    1.2   -0.4   -0.1
    51.033   147.098    1.3   -0.5   -0.1
    51.195   147.098    1.3   -0.5   -0.1
    51.357   147.098    1.4   -0.5   -0.1
    51.519   147.098    1.4   -0.6   -0.0
    51.682   147.098    1.5   -0.6   -0.0
    51.844   147.098    1.5   -0.6    0.0
    52.006   147.098    1.6   -0.7    0.0
    52.168   147.098    1.6   -0.7    0.1
    52.330   147.098    1.7   -0.7    0.1
    52.492   147.098    1.7   -0.8    0.1
    52.654   147.098    1.7   -0.8    0.1
    52.817   147.098    1.7   -0.8    0.1
    52.979   147.098    1.7   -0.9    0.1
    53.141   147.098    1.8   -0.9    0.2
    53.303   147.098    1.8   -0.9    0.2
    53.465   147.098    1.8   -1.0    0.2
    53.627   147.098    1.8   -1.0    0.2
    53.789   147.098    1.8   -1.0    0.2
