 Lat    Lon    Disp_x_East(cm)   Disp_y_North(cm)   DispUp(cm)
     5.653   -83.060    0.2    0.2   -0.1
     5.662   -83.060    0.2    0.2   -0.1
     5.671   -83.060    0.2    0.2   -0.1
     5.680   -83.060    0.2    0.2   -0.1
     5.689   -83.060    0.2    0.2   -0.1
     5.698   -83.060    0.2    0.2   -0.1
     5.707   -83.060    0.2    0.2   -0.1
     5.716   -83.060    0.2    0.2   -0.1
     5.725   -83.060    0.2    0.2   -0.1
     5.734   -83.060    0.2    0.2   -0.1
     5.743   -83.060    0.2    0.2   -0.1
     5.752   -83.060    0.2    0.2   -0.1
     5.761   -83.060    0.2    0.2   -0.1
     5.770   -83.060    0.2    0.2   -0.1
     5.779   -83.060    0.2    0.2   -0.1
     5.788   -83.060    0.2    0.2   -0.1
     5.797   -83.060    0.2    0.2   -0.1
     5.806   -83.060    0.2    0.2   -0.1
     5.815   -83.060    0.2    0.2   -0.1
     5.824   -83.060    0.2    0.2   -0.1
     5.833   -83.060    0.2    0.2   -0.1
     5.842   -83.060    0.2    0.2   -0.1
     5.851   -83.060    0.2    0.2   -0.1
     5.860   -83.060    0.2    0.2   -0.1
     5.869   -83.060    0.2    0.2   -0.1
     5.878   -83.060    0.2    0.2   -0.1
     5.887   -83.060    0.2    0.2   -0.1
     5.896   -83.060    0.2    0.2   -0.1
     5.905   -83.060    0.2    0.2   -0.1
     5.914   -83.060    0.2    0.2   -0.1
     5.923   -83.060    0.2    0.2   -0.1
     5.932   -83.060    0.2    0.2   -0.1
     5.941   -83.060    0.2    0.2   -0.1
     5.950   -83.060    0.2    0.2   -0.1
     5.959   -83.060    0.2    0.2   -0.1
     5.968   -83.060    0.2    0.2   -0.1
     5.977   -83.060    0.2    0.2   -0.1
     5.986   -83.060    0.2    0.2   -0.1
     5.995   -83.060    0.2    0.2   -0.1
     6.004   -83.060    0.2    0.2   -0.1
     6.013   -83.060    0.2    0.2   -0.1
     6.022   -83.060    0.2    0.2   -0.1
     6.031   -83.060    0.2    0.1   -0.1
     6.040   -83.060    0.2    0.1   -0.1
     6.049   -83.060    0.2    0.1   -0.1
     6.058   -83.060    0.2    0.1   -0.1
     6.067   -83.060    0.2    0.1   -0.1
     6.076   -83.060    0.2    0.1   -0.1
     6.085   -83.060    0.2    0.1   -0.1
     6.094   -83.060    0.1    0.1   -0.1
     6.103   -83.060    0.1    0.1   -0.1
     6.112   -83.060    0.1    0.1   -0.1
     6.121   -83.060    0.1    0.1   -0.1
     6.129   -83.060    0.1    0.1   -0.1
     6.138   -83.060    0.1    0.1   -0.1
     6.147   -83.060    0.1    0.1   -0.1
     6.156   -83.060    0.1    0.1   -0.1
     6.165   -83.060    0.1    0.1   -0.1
     6.174   -83.060    0.1    0.1   -0.1
     6.183   -83.060    0.1    0.1   -0.1
     6.192   -83.060    0.1    0.1   -0.1
     6.201   -83.060    0.1    0.1   -0.1
     6.210   -83.060    0.1    0.1   -0.1
     6.219   -83.060    0.1    0.1   -0.1
     6.228   -83.060    0.0    0.1   -0.1
     6.237   -83.060    0.0    0.1   -0.1
     6.246   -83.060    0.0    0.1   -0.1
     6.255   -83.060    0.0    0.1   -0.1
     6.264   -83.060    0.0    0.1   -0.1
     6.273   -83.060    0.0    0.1   -0.1
     6.282   -83.060    0.0    0.1   -0.1
     6.291   -83.060   -0.0    0.1   -0.1
     6.300   -83.060   -0.0    0.1   -0.0
     6.309   -83.060   -0.0    0.1   -0.0
     6.318   -83.060   -0.0    0.1   -0.0
     6.327   -83.060   -0.0    0.1   -0.0
     6.336   -83.060   -0.0    0.1   -0.0
     6.345   -83.060   -0.0    0.1   -0.0
     6.354   -83.060   -0.0    0.1   -0.0
     6.363   -83.060   -0.0    0.1   -0.0
     6.372   -83.060   -0.1    0.1   -0.0
     6.381   -83.060   -0.1    0.1   -0.0
     6.390   -83.060   -0.1    0.1   -0.0
     6.399   -83.060   -0.1    0.1   -0.0
     6.408   -83.060   -0.1    0.1   -0.0
     6.417   -83.060   -0.1    0.1   -0.0
     6.426   -83.060   -0.1    0.1   -0.0
     6.435   -83.060   -0.1    0.1   -0.0
     6.444   -83.060   -0.1    0.1   -0.0
     6.453   -83.060   -0.1    0.1   -0.0
     6.462   -83.060   -0.1    0.1   -0.0
     6.471   -83.060   -0.1    0.1   -0.0
     6.480   -83.060   -0.1    0.1   -0.0
     6.489   -83.060   -0.1    0.1   -0.0
     6.498   -83.060   -0.1    0.1   -0.0
     6.507   -83.060   -0.1    0.1   -0.0
     6.516   -83.060   -0.1    0.1   -0.0
     6.525   -83.060   -0.1    0.1   -0.0
     6.534   -83.060   -0.1    0.1   -0.0
     6.543   -83.060   -0.1    0.1   -0.0
     6.552   -83.060   -0.1    0.1   -0.0
     5.653   -83.051    0.2    0.2   -0.1
     5.662   -83.051    0.2    0.2   -0.1
     5.671   -83.051    0.2    0.2   -0.1
     5.680   -83.051    0.2    0.2   -0.1
     5.689   -83.051    0.2    0.2   -0.1
     5.698   -83.051    0.2    0.2   -0.1
     5.707   -83.051    0.2    0.2   -0.1
     5.716   -83.051    0.2    0.2   -0.1
     5.725   -83.051    0.2    0.2   -0.1
     5.734   -83.051    0.2    0.2   -0.1
     5.743   -83.051    0.2    0.2   -0.1
     5.752   -83.051    0.2    0.2   -0.1
     5.761   -83.051    0.2    0.2   -0.1
     5.770   -83.051    0.2    0.2   -0.1
     5.779   -83.051    0.2    0.2   -0.1
     5.788   -83.051    0.2    0.2   -0.1
     5.797   -83.051    0.2    0.2   -0.1
     5.806   -83.051    0.2    0.2   -0.1
     5.815   -83.051    0.2    0.2   -0.1
     5.824   -83.051    0.2    0.2   -0.1
     5.833   -83.051    0.2    0.2   -0.1
     5.842   -83.051    0.2    0.2   -0.1
     5.851   -83.051    0.2    0.2   -0.1
     5.860   -83.051    0.2    0.2   -0.1
     5.869   -83.051    0.2    0.2   -0.1
     5.878   -83.051    0.2    0.2   -0.1
     5.887   -83.051    0.2    0.2   -0.1
     5.896   -83.051    0.2    0.2   -0.1
     5.905   -83.051    0.2    0.2   -0.1
     5.914   -83.051    0.2    0.2   -0.1
     5.923   -83.051    0.2    0.2   -0.1
     5.932   -83.051    0.2    0.2   -0.1
     5.941   -83.051    0.2    0.2   -0.1
     5.950   -83.051    0.2    0.2   -0.1
     5.959   -83.051    0.2    0.2   -0.1
     5.968   -83.051    0.2    0.2   -0.1
     5.977   -83.051    0.2    0.2   -0.1
     5.986   -83.051    0.2    0.2   -0.1
     5.995   -83.051    0.2    0.2   -0.1
     6.004   -83.051    0.2    0.2   -0.1
     6.013   -83.051    0.2    0.2   -0.1
     6.022   -83.051    0.2    0.2   -0.1
     6.031   -83.051    0.2    0.2   -0.1
     6.040   -83.051    0.2    0.2   -0.1
     6.049   -83.051    0.2    0.1   -0.1
     6.058   -83.051    0.2    0.1   -0.1
     6.067   -83.051    0.2    0.1   -0.1
     6.076   -83.051    0.2    0.1   -0.1
     6.085   -83.051    0.2    0.1   -0.1
     6.094   -83.051    0.1    0.1   -0.1
     6.103   -83.051    0.1    0.1   -0.1
     6.112   -83.051    0.1    0.1   -0.1
     6.121   -83.051    0.1    0.1   -0.1
     6.129   -83.051    0.1    0.1   -0.1
     6.138   -83.051    0.1    0.1   -0.1
     6.147   -83.051    0.1    0.1   -0.1
     6.156   -83.051    0.1    0.1   -0.1
     6.165   -83.051    0.1    0.1   -0.1
     6.174   -83.051    0.1    0.1   -0.1
     6.183   -83.051    0.1    0.1   -0.1
     6.192   -83.051    0.1    0.1   -0.1
     6.201   -83.051    0.1    0.1   -0.1
     6.210   -83.051    0.1    0.1   -0.1
     6.219   -83.051    0.1    0.1   -0.1
     6.228   -83.051    0.0    0.1   -0.1
     6.237   -83.051    0.0    0.1   -0.1
     6.246   -83.051    0.0    0.1   -0.1
     6.255   -83.051    0.0    0.1   -0.1
     6.264   -83.051    0.0    0.1   -0.1
     6.273   -83.051    0.0    0.1   -0.1
     6.282   -83.051    0.0    0.1   -0.1
     6.291   -83.051   -0.0    0.1   -0.1
     6.300   -83.051   -0.0    0.1   -0.1
     6.309   -83.051   -0.0    0.1   -0.0
     6.318   -83.051   -0.0    0.1   -0.0
